Date,Wake Up Time,Miles Run,Press Ups,Sit Ups,Backs,Head Ups,Guitar Played / Hrs,Drinks,Flossed,Finasteride,Mood Score
25/03/2025,9:00,0,0,0,0,0,2.5,3,No,Yes,7
26/03/2025,9:00,0,0,0,0,0,0.5,7,No,Yes,6
27/03/2025,9:00,0,0,0,0,0,0,0,No,Yes,7
28/03/2025,9:00,0,0,0,0,0,0,1,Yes,Yes,7
29/03/2025,9:00,0,0,0,0,0,0,0,Yes,Yes,7
30/03/2025,9:00,0,25,0,0,0,0,1,Yes,No,8
31/03/2025,9:00,0,0,0,0,0,0,0,No,Yes,7
01/04/2025,9:00,0.5,0,0,0,0,0.25,6,Yes,No,7
02/04/2025,10:00,2.5,10,10,10,0,1.5,2,No,No,7
03/04/2025,9:00,6,0,0,0,0,0.5,2,No,Yes,7
04/04/2025,9:00,0,0,0,0,0,1,0,No,No,7
05/04/2025,9:00,0,0,0,0,0,0,5,No,No,7
06/04/2025,9:00,9,0,0,0,0,0,3,No,No,8
07/04/2025,8:00,0,0,0,0,0,0,0,No,No,6
08/04/2025,8:00,0,0,0,0,0,2,1,Yes,No,7
09/04/2025,8:00,0.5,170,50,50,2,1,0,Yes,No,7
10/04/2025,7:00,6.3,0,0,0,0,0,2,No,No,8
11/04/2025,9:30,6,0,0,0,0,0,0,No,Yes,7
12/04/2025,9:00,0,100,100,50,4,2,3,No,Yes,7
13/04/2025,8:30,1,100,100,50,2,3,3,No,Yes,8
14/04/2025,7:00,6,50,50,25,5,0.5,0,Yes,Yes,7
15/04/2025,8:30,1.8,100,100,50,5,2,0,Yes,Yes,8
16/04/2025,7:30,1,25,25,0,0,1,0,No,Yes,7
17/04/2025,8:00,6,100,100,50,0,2,0,No,Yes,7
18/04/2025,9:00,0,0,0,0,0,2,7,No,Yes,8
19/04/2025,13:00,0,0,0,0,0,0,8,No,No,9
20/04/2025,11:00,0,0,0,0,0,0,3,No,Yes,7
21/04/2025,12:00,0,0,0,0,0,0,1,No,No,7
22/04/2025,6:30,1.8,50,50,25,0,2,0,Yes,Yes,7
23/04/2025,9:00,1,25,25,25,0,0.5,0,Yes,Yes,7
24/04/2025,9:00,0,0,0,0,0,1,0,No,Yes,5
25/04/2025,9:00,0,0,0,0,0,1,3,No,Yes,6
26/04/2025,8:30,0,0,0,0,0,4,3,No,Yes,7
